"gene","pvalue","q_fdr","p_bonf"
"WBGene00001603",1.72e-17,2.55171302428256e-16,4.623704e-13
"WBGene00003432",1.92e-17,2.8468527302813e-16,5.161344e-13
"WBGene00007517",1.94e-17,2.8749217199559e-16,5.215108e-13
"WBGene00004001",2.26e-17,3.34729035812672e-16,6.075332e-13
"WBGene00021248",2.32e-17,3.43426431718062e-16,6.236624e-13
"WBGene00022674",2.45e-17,3.6247055586131e-16,6.58609e-13
"WBGene00013515",2.7e-17,3.99018141836174e-16,7.25814e-13
"WBGene00015094",2.7e-17,3.99018141836174e-16,7.25814e-13
"WBGene00002025",2.77e-17,4.09138131868132e-16,7.446314e-13
"WBGene00007560",2.95e-17,4.35485447556288e-16,7.93019e-13
"WBGene00000485",3.16e-17,4.65974328030719e-16,8.494712e-13
"WBGene00001820",3.16e-17,4.65974328030719e-16,8.494712e-13
"WBGene00019105",3.19e-17,4.7014024122807e-16,8.575358e-13
"WBGene00015907",3.33e-17,4.90235815991238e-16,8.951706e-13
"WBGene00016462",3.33e-17,4.90235815991238e-16,8.951706e-13
"WBGene00012294",3.61e-17,5.31165955117679e-16,9.704402e-13
"WBGene00007601",3.68e-17,5.41169365426696e-16,9.892576e-13
"WBGene00013887",3.78e-17,5.55571131765992e-16,1.0161396e-12
"WBGene00044174",4.07e-17,5.97867431693989e-16,1.0940974e-12
"WBGene00011911",5.11e-17,7.5022949208083e-16,1.3736702e-12
"WBGene00022160",5.25e-17,7.70362991266376e-16,1.411305e-12
"WBGene00004124",5.36e-17,7.86074849972722e-16,1.4408752e-12
"WBGene00007584",5.43e-17,7.95906543075245e-16,1.4596926e-12
"WBGene00006936",5.58e-17,8.17447193460491e-16,1.5000156e-12
"WBGene00016447",5.82e-17,8.5214183006536e-16,1.5645324e-12
"WBGene00006040",6.39e-17,9.35089711486119e-16,1.7177598e-12
"WBGene00009344",7.03e-17,1.0281853101197e-15,1.8898046e-12
"WBGene00016419",7.09e-17,1.03639684611202e-15,1.9059338e-12
"WBGene00006589",7.65e-17,1.11764836956522e-15,2.056473e-12
"WBGene00012085",7.71e-17,1.12580239000543e-15,2.0726022e-12
"WBGene00016357",7.76e-17,1.132488165038e-15,2.0860432e-12
"WBGene00022709",7.98e-17,1.16396288659794e-15,2.1451836e-12
"WBGene00015024",8.17e-17,1.19103004338395e-15,2.1962594e-12
"WBGene00006394",8.42e-17,1.22680997289973e-15,2.2634644e-12
"WBGene00016659",8.56e-17,1.24653261105092e-15,2.3010992e-12
"WBGene00008724",9.39e-17,1.36665933946941e-15,2.5242198e-12
"WBGene00017046",9.96e-17,1.44883506493506e-15,2.6774472e-12
"WBGene00009090",1.14e-16,1.65740832882639e-15,3.064548e-12
"WBGene00012917",1.16e-16,1.68557405405405e-15,3.118312e-12
"WBGene00003888",1.26e-16,1.82989303079417e-15,3.387132e-12
"WBGene00011124",1.27e-16,1.84342008639309e-15,3.414014e-12
"WBGene00012326",1.28e-16,1.85693254182407e-15,3.440896e-12
"WBGene00013999",1.42e-16,2.05892340884574e-15,3.817244e-12
"WBGene00018573",1.65e-16,2.39112129380054e-15,4.43553e-12
"WBGene00011888",1.69e-16,2.44776831896552e-15,4.543058e-12
"WBGene00011493",1.73e-16,2.50435433494884e-15,4.650586e-12
"WBGene00010254",1.77e-16,2.56087944025834e-15,4.758114e-12
"WBGene00003567",1.97e-16,2.84717956989247e-15,5.295754e-12
"WBGene00017483",1.97e-16,2.84717956989247e-15,5.295754e-12
"WBGene00001724",2.13e-16,3.07676840408383e-15,5.725866e-12
"WBGene00014857",2.26e-16,3.26279914070892e-15,6.075332e-12
"WBGene00271819",2.47e-16,3.56406548577563e-15,6.639854e-12
"WBGene00007248",2.55e-16,3.67752682403434e-15,6.85491e-12
"WBGene00007159",2.62e-16,3.77645254691689e-15,7.043084e-12
"WBGene00018528",2.69e-16,3.87527224008574e-15,7.231258e-12
"WBGene00022751",2.7e-16,3.88759507230852e-15,7.25814e-12
"WBGene00020715",2.78e-16,4.00064025695931e-15,7.473196e-12
"WBGene00016011",3.19e-16,4.58820652755484e-15,8.575358e-12
"WBGene00013173",3.43e-16,4.93076256684492e-15,9.220526e-12
"WBGene00011694",3.72e-16,5.34479102084447e-15,1.0000104e-11
"WBGene00015931",3.79e-16,5.4424561965812e-15,1.0188278e-11
"WBGene00007264",3.94e-16,5.65483609183129e-15,1.0591508e-11
"WBGene00013965",4.36e-16,6.25429669156884e-15,1.1720552e-11
"WBGene00014182",4.61e-16,6.60938773333333e-15,1.2392602e-11
"WBGene00012831",4.75e-16,6.80647654584222e-15,1.276895e-11
"WBGene00010267",4.91e-16,7.0319989344699e-15,1.3199062e-11
"WBGene00007610",5.61e-16,8.03024600638978e-15,1.5080802e-11
"WBGene00007343",5.66e-16,8.09750505588079e-15,1.5215212e-11
"WBGene00016425",5.98e-16,8.55076382978723e-15,1.6075436e-11
"WBGene00018303",6.04e-16,8.63196597554492e-15,1.6236728e-11
"WBGene00020630",6.62e-16,9.45583634431456e-15,1.7795884e-11
"WBGene00003467",6.74e-16,9.62212851832183e-15,1.8118468e-11
"WBGene00013263",6.96e-16,9.93092993630573e-15,1.8709872e-11
"WBGene00016133",6.97e-16,9.9399225464191e-15,1.8736754e-11
"WBGene00016052",7.22e-16,1.02909883351007e-14,1.9408804e-11
"WBGene00045355",7.29e-16,1.03852559618442e-14,1.9596978e-11
"WBGene00010850",7.91e-16,1.12625328389831e-14,2.1263662e-11
"WBGene00010117",8.39e-16,1.19396495500265e-14,2.2553998e-11
"WBGene00018630",8.45e-16,1.2018671957672e-14,2.271529e-11
"WBGene00018297",8.59e-16,1.22113368588049e-14,2.3091638e-11
"WBGene00003456",8.67e-16,1.23185486257928e-14,2.3306694e-11
"WBGene00010612",8.7e-16,1.23546434231379e-14,2.338734e-11
"WBGene00010419",9.11e-16,1.29300432946146e-14,2.4489502e-11
"WBGene00011152",9.45e-16,1.34055356200528e-14,2.540349e-11
"WBGene00018773",1.01e-15,1.4320052742616e-14,2.715082e-11
"WBGene00014996",1.03e-15,1.45959198734844e-14,2.768846e-11
"WBGene00000746",1.05e-15,1.48714963119073e-14,2.82261e-11
"WBGene00012169",1.11e-15,1.57130173775671e-14,2.983902e-11
"WBGene00002983",1.14e-15,1.61292e-14,3.064548e-11
"WBGene00003443",1.15e-15,1.62621251972646e-14,3.09143e-11
"WBGene00004989",1.19e-15,1.68189169295478e-14,3.198958e-11
"WBGene00015987",1.32e-15,1.86464739884393e-14,3.548424e-11
"WBGene00008541",1.55e-15,2.1883981092437e-14,4.16671e-11
"WBGene00010317",1.58e-15,2.22958320209974e-14,4.247356e-11
"WBGene00022665",1.61e-15,2.27072507869885e-14,4.328002e-11
"WBGene00043147",1.65e-15,2.32592029365496e-14,4.43553e-11
"WBGene00016416",1.72e-15,2.4233249475891e-14,4.623704e-11
"WBGene00012968",1.86e-15,2.61919958093243e-14,5.000052e-11
"WBGene00011132",1.96e-15,2.75857172774869e-14,5.268872e-11
"WBGene00010989",2.03e-15,2.85559706959707e-14,5.457046e-11
"WBGene00008215",2.25e-15,3.16341527196653e-14,6.04845e-11
"WBGene00021579",2.26e-15,3.17581390486147e-14,6.075332e-11
"WBGene00001878",2.32e-15,3.2567227154047e-14,6.236624e-11
"WBGene00013854",2.32e-15,3.2567227154047e-14,6.236624e-11
"WBGene00194670",2.38e-15,3.33920459290188e-14,6.397916e-11
"WBGene00013474",2.4e-15,3.36550860719875e-14,6.45168e-11
"WBGene00016541",2.63e-15,3.68611366006257e-14,7.069966e-11
"WBGene00006651",2.71e-15,3.79625951016154e-14,7.285022e-11
"WBGene00000788",2.83e-15,3.96229479166667e-14,7.607606e-11
"WBGene00004904",2.94e-15,4.11416345653306e-14,7.903308e-11
"WBGene00007170",3.19e-15,4.46168470343392e-14,8.575358e-11
"WBGene00006947",3.43e-15,4.78988363636364e-14,9.220526e-11
"WBGene00008640",3.43e-15,4.78988363636364e-14,9.220526e-11
"WBGene00010499",3.43e-15,4.78988363636364e-14,9.220526e-11
"WBGene00011676",3.79e-15,5.28986396677051e-14,1.0188278e-10
"WBGene00017673",3.9e-15,5.44057083549559e-14,1.048398e-10
"WBGene00284850",4.11e-15,5.73055082987552e-14,1.1048502e-10
"WBGene00012538",4.27e-15,5.95055158113012e-14,1.1478614e-10
"WBGene00019406",4.5e-15,6.26782383419689e-14,1.20969e-10
"WBGene00016351",4.61e-15,6.4177120662869e-14,1.2392602e-10
"WBGene00010759",4.69e-15,6.52570289855072e-14,1.2607658e-10
"WBGene00000968",5.13e-15,7.13422969477496e-14,1.3790466e-10
"WBGene00013169",5.18e-15,7.20003929679421e-14,1.3924876e-10
"WBGene00020672",5.4e-15,7.50195348837209e-14,1.451628e-10
"WBGene00013171",5.76e-15,7.99795041322314e-14,1.5484032e-10
"WBGene00018930",5.9e-15,8.18811564274651e-14,1.586038e-10
"WBGene00008010",5.91e-15,8.19776160990712e-14,1.5887262e-10
"WBGene00206362",6.42e-15,8.9005899948427e-14,1.7258244e-10
"WBGene00012937",6.76e-15,9.36712989690722e-14,1.8172232e-10
"WBGene00044620",6.8e-15,9.41770221535291e-14,1.827976e-10
"WBGene00008681",7.1e-15,9.82812564366632e-14,1.908622e-10
"WBGene00138711",7.14e-15,9.87840864642306e-14,1.9193748e-10
"WBGene00006047",7.3e-15,1.00945781893004e-13,1.962386e-10
"WBGene00050875",7.57e-15,1.04625573264781e-13,2.0349674e-10
"WBGene00001736",7.8e-15,1.07749023638232e-13,2.096796e-10
"WBGene00021186",8.44e-15,1.16530087313816e-13,2.2688408e-10
"WBGene00015627",8.72e-15,1.20334209445585e-13,2.3441104e-10
"WBGene00011077",8.82e-15,1.21651739353515e-13,2.3709924e-10
"WBGene00010234",9.53e-15,1.31377158974359e-13,2.5618546e-10
"WBGene00008875",9.77e-15,1.34616678626345e-13,2.6263714e-10
"WBGene00001076",1e-14,1.37715163934426e-13,2.6882e-10
"WBGene00017279",1.01e-14,1.39021095750128e-13,2.715082e-10
"WBGene00000878",1.05e-14,1.44452917093142e-13,2.82261e-10
"WBGene00000722",1.09e-14,1.49879181585678e-13,2.930138e-10
"WBGene00003424",1.15e-14,1.58048568507157e-13,3.09143e-10
"WBGene00006861",1.16e-14,1.59341440981094e-13,3.118312e-10
"WBGene00012689",1.22e-14,1.67497650663943e-13,3.279604e-10
"WBGene00021398",1.42e-14,1.94856763654926e-13,3.817244e-10
"WBGene00003517",1.45e-14,1.9887193877551e-13,3.89789e-10
"WBGene00306078",1.46e-14,2.0014135645079e-13,3.924772e-10
"WBGene00019601",1.48e-14,2.02779612640163e-13,3.978536e-10
"WBGene00003776",1.51e-14,2.06784615384615e-13,4.059182e-10
"WBGene00006948",1.56e-14,2.13523014256619e-13,4.193592e-10
"WBGene00016322",1.64e-14,2.24358676844784e-13,4.408648e-10
"WBGene00017969",1.72e-14,2.35183316378433e-13,4.623704e-10
"WBGene00021326",1.73e-14,2.36430401626843e-13,4.650586e-10
"WBGene00021110",1.85e-14,2.52701727642276e-13,4.97317e-10
"WBGene00001581",2.02e-14,2.75782833925851e-13,5.430164e-10
"WBGene00009218",2.41e-14,3.28861015228426e-13,6.478562e-10
"WBGene00022006",2.53e-14,3.4506067985794e-13,6.801146e-10
"WBGene00006955",2.66e-14,3.62607099391481e-13,7.150612e-10
"WBGene00022103",2.67e-14,3.63785808413583e-13,7.177494e-10
"WBGene00018497",2.83e-14,3.85390374873354e-13,7.607606e-10
"WBGene00001912",2.87e-14,3.90639696202532e-13,7.715134e-10
"WBGene00003879",2.94e-14,3.99964979757085e-13,7.903308e-10
"WBGene00007817",2.99e-14,4.06561355589277e-13,8.037718e-10
"WBGene00016283",3.16e-14,4.29459656218402e-13,8.494712e-10
"WBGene00011466",3.8e-14,5.16177867609904e-13,1.021516e-09
"WBGene00003514",4.33e-14,5.8787404040404e-13,1.1639906e-09
"WBGene00006439",4.55e-14,6.1743109540636e-13,1.223131e-09
"WBGene00044658",4.67e-14,6.33395257315843e-13,1.2553894e-09
